ID	Age	Sex	Valence	ValenceNum	Framing	FramingNum	emot_option_sure	emot_option_risk	risky_choice	valence_pre	excitation_pre	fear_pre	amusement_pre	sadness_pre	disgust_pre	anger_pre	joy_pre	valence_post	excitation_post	fear_post	amusement_post	sadness_post	disgust_post	anger_post	joy_post
18	22	female	Neutral	0	Gain	2	3	2	0	4	1	4	8	3	2	1	7	4	2	4	7	2	2	1	7
20	21	female	Neutral	0	Gain	2	4	3	1	3	3	3	3	3	5	1	5	2	2	1	1	1	9	8	3
22	19	female	Neutral	0	Gain	2	4	4	0	3	3	6	6	2	1	1	5	3	3	2	5	1	1	1	4
23	19	male	Neutral	0	Gain	2	5	3	0	4	2	6	6	5	3	4	6	4	2	6	6	5	3	3	6
24	31	female	Neutral	0	Gain	2	5	5	1	5	1	1	8	1	1	1	9	5	2	1	8	1	1	1	8
25	20	male	Neutral	0	Gain	2	4	3	0	3	2	2	5	2	1	1	5	3	2	2	5	2	1	1	5
1	19	female	Neutral	0	Loss	1	3	3	1	5	3	7	8	2	7	2	9	4	3	3	8	4	7	3	9
2	18	female	Neutral	0	Loss	1	4	4	1	1	2	3	4	7	1	3	2	4	2	4	2	3	3	5	3
3	18	female	Neutral	0	Loss	1	2	3	0	5	1	3	7	3	1	1	9	4	2	4	4	4	6	8	3
16	19	female	Sad	2	Gain	2	4	4	0	4	3	1	5	2	1	1	6	3	2	1	1	6	1	1	5
17	20	female	Sad	2	Gain	2	4	3	1	4	1	1	3	2	2	1	1	1	2	3	2	8	7	5	5
26	18	female	Sad	2	Gain	2	5	3	0	3	3	7	4	5	1	2	6	3	4	5	2	7	6	1	4
27	27	female	Sad	2	Gain	2	3	4	1	3	3	5	5	5	5	5	5	1	4	5	3	8	5	2	2
28	27	female	Sad	2	Gain	2	3	3	1	3	2	1	2	3	1	1	4	2	4	2	1	7	1	1	1
29	26	male	Sad	2	Gain	2	3	3	0	3	3	5	6	6	3	5	5	2	2	5	3	8	2	4	3
30	24	female	Sad	2	Gain	2	4	3	0	5	3	1	6	1	1	1	9	1	4	1	1	9	5	1	1
10	22	female	Sad	2	Loss	1	3	3	0	3	3	2	3	1	1	1	7	1	5	6	1	9	1	1	1
11	18	male	Sad	2	Loss	1	2	2	0	4	3	7	5	4	3	1	4	2	2	3	1	7	6	5	2
12	21	male	Sad	2	Loss	1	3	2	0	5	1	1	7	1	1	1	8	4	3	1	6	2	1	1	6
8	26	female	Sad	2	Loss	1	1	2	0	4	3	2	4	1	1	1	5	2	4	5	1	6	6	1	5
9	18	female	Sad	2	Loss	1	3	2	0	4	2	1	1	4	1	1	5	2	4	6	1	7	7	6	4
